row,month,year,DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,law,both_sides
1,Jan,1969,107,1687,867,269,9059,0.10297181,12,0,1136
2,Feb,1969,97,1508,825,265,7685,0.102363,6,0,1090
3,Mar,1969,102,1507,806,319,9963,0.10206249,12,0,1125
4,Apr,1969,87,1385,814,407,10955,0.1008733,8,0,1221
5,May,1969,119,1632,991,454,11823,0.10101967,10,0,1445
6,Jun,1969,106,1511,945,427,12391,0.10058119,13,0,1372
7,Jul,1969,110,1559,1004,522,13460,0.10377398,11,0,1526
8,Aug,1969,106,1630,1091,536,14055,0.1040764,6,0,1627
9,Sep,1969,107,1579,958,405,12106,0.10377398,10,0,1363
10,Oct,1969,134,1653,850,437,11372,0.1030264,16,0,1287
11,Nov,1969,147,2152,1109,434,9834,0.10273011,13,0,1543
12,Dec,1969,180,2148,1113,437,9267,0.10199719,14,0,1550
13,Jan,1970,125,1752,925,316,9130,0.10127456,14,0,1241
14,Feb,1970,134,1765,903,311,8933,0.10070398,6,0,1214
15,Mar,1970,110,1717,1006,351,11000,0.10013961,8,0,1357
16,Apr,1970,102,1558,892,362,10733,0.0986211,11,0,1254
17,May,1970,103,1575,990,486,12912,0.09834929,7,0,1476
18,Jun,1970,111,1520,866,429,12926,0.09808018,13,0,1295
19,Jul,1970,120,1805,1095,551,13990,0.09727921,13,0,1646
20,Aug,1970,129,1800,1204,646,14926,0.09741062,11,0,1850
21,Sep,1970,122,1719,1029,456,12900,0.09742524,11,0,1485
22,Oct,1970,183,2008,1147,475,12034,0.09638063,14,0,1622
23,Nov,1970,169,2242,1171,456,10643,0.09573896,16,0,1627
24,Dec,1970,190,2478,1299,468,10742,0.09510631,14,0,1767
25,Jan,1971,134,2030,944,356,10266,0.09673597,17,0,1300
26,Feb,1971,108,1655,874,271,10281,0.09610922,16,0,1145
27,Mar,1971,104,1693,840,354,11527,0.09536725,15,0,1194
28,Apr,1971,117,1623,893,427,12281,0.09470959,13,0,1320
29,May,1971,157,1805,1007,465,13587,0.09411762,13,0,1472
30,Jun,1971,148,1746,973,440,13049,0.09353215,15,0,1413
31,Jul,1971,130,1795,1097,539,16055,0.09295405,12,0,1636
32,Aug,1971,140,1926,1194,646,15220,0.09283979,6,0,1840
33,Sep,1971,136,1619,988,457,13824,0.09272474,9,0,1445
34,Oct,1971,140,1992,1077,446,12729,0.09226965,13,0,1523
35,Nov,1971,187,2233,1045,402,11467,0.09170669,14,0,1447
36,Dec,1971,150,2192,1115,441,11351,0.09126207,15,0,1556
37,Jan,1972,159,2080,1005,359,10803,0.0907116,14,0,1364
38,Feb,1972,143,1768,857,334,10548,0.09027633,3,0,1191
39,Mar,1972,114,1835,879,312,12368,0.08995192,12,0,1191
40,Apr,1972,127,1569,887,427,13311,0.08909964,13,0,1314
41,May,1972,159,1976,1075,434,13885,0.08867919,12,0,1509
42,Jun,1972,156,1853,1121,486,14088,0.08815929,8,0,1607
43,Jul,1972,138,1965,1190,569,16932,0.08890206,8,0,1759
44,Aug,1972,120,1689,1058,523,16164,0.08818133,15,0,1581
45,Sep,1972,117,1778,939,418,14883,0.08894029,8,0,1357
46,Oct,1972,170,1976,1074,452,13532,0.08772661,5,0,1526
47,Nov,1972,168,2397,1089,462,12220,0.08742885,17,0,1551
48,Dec,1972,198,2654,1208,497,12025,0.08703543,14,0,1705
49,Jan,1973,144,2097,903,354,11692,0.08644992,13,0,1257
50,Feb,1973,146,1963,916,347,11081,0.08587264,5,0,1263
51,Mar,1973,109,1677,787,276,13745,0.08539822,8,0,1063
52,Apr,1973,131,1941,1114,472,14382,0.08382198,5,0,1586
53,May,1973,151,2003,1014,487,14391,0.08459078,12,0,1501
54,Jun,1973,140,1813,1022,505,15597,0.0841369,11,0,1527
55,Jul,1973,153,2012,1114,619,16834,0.08377841,13,0,1733
56,Aug,1973,140,1912,1132,640,17282,0.08351074,15,0,1772
57,Sep,1973,161,2084,1111,559,15779,0.08280639,11,0,1670
58,Oct,1973,168,2080,1008,453,13946,0.08117889,11,0,1461
59,Nov,1973,152,2118,916,418,12701,0.08285361,10,0,1334
60,Dec,1973,136,2150,992,419,10431,0.09419012,13,0,1411
61,Jan,1974,113,1608,731,262,11616,0.09239984,8,0,993
62,Feb,1974,100,1503,665,299,10808,0.10816148,6,0,964
63,Mar,1974,103,1548,724,303,12421,0.10721169,8,0,1027
64,Apr,1974,103,1382,744,401,13605,0.11404297,14,0,1145
65,May,1974,121,1731,910,413,14455,0.11245412,12,0,1323
66,Jun,1974,134,1798,883,426,15019,0.11131625,14,0,1309
67,Jul,1974,133,1779,900,516,15662,0.11030125,13,0,1416
68,Aug,1974,129,1887,1057,600,16745,0.10819718,9,0,1657
69,Sep,1974,144,2004,1076,459,14717,0.10702744,4,0,1535
70,Oct,1974,154,2077,919,443,13756,0.10494698,13,0,1362
71,Nov,1974,156,2092,920,412,12531,0.11935775,6,0,1332
72,Dec,1974,163,2051,953,400,12568,0.1176219,15,0,1353
73,Jan,1975,122,1577,664,278,11249,0.13302742,12,0,942
74,Feb,1975,92,1356,607,302,11096,0.13084524,16,0,909
75,Mar,1975,117,1652,777,381,12637,0.12831848,7,0,1158
76,Apr,1975,95,1382,633,279,13018,0.12354745,12,0,912
77,May,1975,96,1519,791,442,15005,0.11858681,10,0,1233
78,Jun,1975,108,1421,790,409,15235,0.11633748,9,0,1199
79,Jul,1975,108,1442,803,416,15552,0.11516148,9,0,1219
80,Aug,1975,106,1543,884,511,16905,0.1145012,6,0,1395
81,Sep,1975,140,1656,769,393,14776,0.11352298,7,0,1162
82,Oct,1975,114,1561,732,345,14104,0.11193018,13,0,1077
83,Nov,1975,158,1905,859,391,12854,0.11061053,14,0,1250
84,Dec,1975,161,2199,994,470,12956,0.11527439,13,0,1464
85,Jan,1976,102,1473,704,266,12177,0.11379349,14,0,970
86,Feb,1976,127,1655,684,312,11918,0.11234958,11,0,996
87,Mar,1976,125,1407,671,300,13517,0.11175347,11,0,971
88,Apr,1976,101,1395,643,373,14417,0.10964252,10,0,1016
89,May,1976,97,1530,771,412,15911,0.1084409,4,0,1183
90,Jun,1976,112,1309,644,322,15589,0.10788494,8,0,966
91,Jul,1976,112,1526,828,458,16543,0.10908477,9,0,1286
92,Aug,1976,113,1327,748,427,17925,0.10757145,10,0,1175
93,Sep,1976,108,1627,767,346,15406,0.10616402,10,0,1113
94,Oct,1976,128,1748,825,421,14601,0.1063,5,0,1246
95,Nov,1976,154,1958,810,344,13107,0.10482531,13,0,1154
96,Dec,1976,162,2274,986,370,12268,0.10345175,12,0,1356
97,Jan,1977,112,1648,714,291,11972,0.10144992,10,0,1005
98,Feb,1977,79,1401,567,224,12028,0.10040232,9,0,791
99,Mar,1977,82,1411,616,266,14033,0.09886203,7,0,882
100,Apr,1977,127,1403,678,338,14244,0.10249615,5,0,1016
101,May,1977,108,1394,742,298,15287,0.10302743,10,0,1040
102,Jun,1977,110,1520,840,386,16954,0.10217891,5,0,1226
103,Jul,1977,123,1528,888,479,17361,0.09983664,6,0,1367
104,Aug,1977,103,1643,852,473,17694,0.09263669,8,0,1325
105,Sep,1977,97,1515,774,332,16222,0.09181496,6,0,1106
106,Oct,1977,140,1685,831,391,14969,0.0907243,12,0,1222
107,Nov,1977,165,2000,889,370,13624,0.09002121,15,0,1259
108,Dec,1977,183,2215,1046,431,13842,0.08933071,7,0,1477
109,Jan,1978,148,1956,889,366,12387,0.08844273,14,0,1255
110,Feb,1978,111,1462,626,250,11608,0.08835257,4,0,876
111,Mar,1978,116,1563,808,355,15021,0.08675736,10,0,1163
112,Apr,1978,115,1459,746,304,14834,0.08499524,8,0,1050
113,May,1978,100,1446,754,379,16565,0.08456794,7,0,1133
114,Jun,1978,106,1622,865,440,16882,0.0844319,11,0,1305
115,Jul,1978,134,1657,980,500,18012,0.08435088,3,0,1480
116,Aug,1978,125,1638,959,511,18855,0.08360098,5,0,1470
117,Sep,1978,117,1643,856,384,17243,0.08341726,11,0,1240
118,Oct,1978,122,1683,798,366,16045,0.08274514,10,0,1164
119,Nov,1978,153,2050,942,432,14745,0.08523527,10,0,1374
120,Dec,1978,178,2262,1010,390,13726,0.0847703,7,0,1400
121,Jan,1979,114,1813,796,306,11196,0.08445892,10,0,1102
122,Feb,1979,94,1445,643,232,12105,0.08535212,11,0,875
123,Mar,1979,128,1762,794,342,14723,0.08755921,9,0,1136
124,Apr,1979,119,1461,750,329,15582,0.09038292,7,0,1079
125,May,1979,111,1556,809,394,16863,0.09078329,8,0,1203
126,Jun,1979,110,1431,716,355,16758,0.10874278,13,0,1071
127,Jul,1979,114,1427,851,385,17434,0.11414223,8,0,1236
128,Aug,1979,118,1554,931,463,18359,0.11299293,5,0,1394
129,Sep,1979,115,1645,834,453,17189,0.11132071,8,0,1287
130,Oct,1979,132,1653,762,373,16909,0.10912623,7,0,1135
131,Nov,1979,153,2016,880,401,15380,0.10769846,12,0,1281
132,Dec,1979,171,2207,1077,466,15161,0.10760157,10,0,1543
133,Jan,1980,115,1665,748,306,14027,0.10377502,7,0,1054
134,Feb,1980,95,1361,593,263,14478,0.10711417,4,0,856
135,Mar,1980,92,1506,720,323,16155,0.10737477,10,0,1043
136,Apr,1980,100,1360,646,310,16585,0.11169537,4,0,956
137,May,1980,95,1453,765,424,18117,0.11063818,8,0,1189
138,Jun,1980,114,1522,820,403,17552,0.11185521,8,0,1223
139,Jul,1980,102,1460,807,406,18299,0.10974234,7,0,1213
140,Aug,1980,104,1552,885,466,19361,0.10819393,10,0,1351
141,Sep,1980,132,1548,803,381,17924,0.10625536,8,0,1184
142,Oct,1980,136,1827,860,369,17872,0.10419303,14,0,1229
143,Nov,1980,117,1737,825,378,16058,0.10193397,8,0,1203
144,Dec,1980,137,1941,911,392,15746,0.10279382,9,0,1303
145,Jan,1981,111,1474,704,284,15226,0.10476034,8,0,988
146,Feb,1981,106,1458,691,316,14932,0.10400254,6,0,1007
147,Mar,1981,98,1542,688,321,16846,0.11665552,7,0,1009
148,Apr,1981,84,1404,714,358,16854,0.11516148,6,0,1072
149,May,1981,94,1522,814,378,18146,0.11298954,5,0,1192
150,Jun,1981,105,1385,736,382,17559,0.11386064,4,0,1118
151,Jul,1981,123,1641,876,433,18655,0.11911808,5,0,1309
152,Aug,1981,109,1510,829,506,19453,0.12448999,10,0,1335
153,Sep,1981,130,1681,818,428,17923,0.12322295,7,0,1246
154,Oct,1981,153,1938,942,479,17915,0.12067793,10,0,1421
155,Nov,1981,134,1868,782,370,16496,0.12104898,12,0,1152
156,Dec,1981,99,1726,823,349,13544,0.11696857,7,0,1172
157,Jan,1982,115,1456,595,238,13601,0.11275026,4,0,833
158,Feb,1982,104,1445,673,285,15667,0.10807931,5,0,958
159,Mar,1982,131,1456,660,324,17358,0.10883852,6,0,984
160,Apr,1982,108,1365,676,346,18112,0.11129177,4,0,1022
161,May,1982,103,1487,755,410,18581,0.11130401,4,0,1165
162,Jun,1982,115,1558,815,411,18759,0.11545436,8,0,1226
163,Jul,1982,122,1488,867,496,20668,0.1147683,8,0,1363
164,Aug,1982,122,1684,933,534,21040,0.11720743,3,0,1467
165,Sep,1982,125,1594,798,396,18993,0.1190764,7,0,1194
166,Oct,1982,137,1850,950,470,18668,0.11796586,12,0,1420
167,Nov,1982,138,1998,825,385,16768,0.11744913,2,0,1210
168,Dec,1982,152,2079,911,411,16551,0.11698846,7,0,1322
169,Jan,1983,120,1494,619,281,16231,0.11261054,8,0,900
170,Feb,1983,95,1057,426,300,15511,0.11365702,3,1,726
171,Mar,1983,100,1218,475,318,18308,0.11314445,2,1,793
172,Apr,1983,89,1168,556,391,17793,0.11849553,6,1,947
173,May,1983,82,1236,559,398,19205,0.1179694,3,1,957
174,Jun,1983,89,1076,483,337,19162,0.11768661,7,1,820
175,Jul,1983,60,1174,587,477,20997,0.12005924,6,1,1064
176,Aug,1983,84,1139,615,422,20705,0.11943775,8,1,1037
177,Sep,1983,113,1427,618,495,18759,0.11888127,8,1,1113
178,Oct,1983,126,1487,662,471,19240,0.11846236,4,1,1133
179,Nov,1983,122,1483,519,368,17504,0.1180166,3,1,887
180,Dec,1983,118,1513,585,345,16591,0.11770662,5,1,930
181,Jan,1984,92,1357,483,296,16224,0.11777609,5,1,779
182,Feb,1984,86,1165,434,319,16670,0.11479699,3,1,753
183,Mar,1984,81,1282,513,349,18539,0.11573525,4,1,862
184,Apr,1984,84,1110,548,375,19759,0.11535626,3,1,923
185,May,1984,87,1297,586,441,19584,0.11481536,6,1,1027
186,Jun,1984,90,1185,522,465,19976,0.11477748,6,1,987
187,Jul,1984,79,1222,601,472,21486,0.11493598,7,1,1073
188,Aug,1984,96,1284,644,521,21626,0.11479699,5,1,1165
189,Sep,1984,122,1444,643,429,20195,0.11409316,7,1,1072
190,Oct,1984,120,1575,641,408,19928,0.11646552,7,1,1049
191,Nov,1984,137,1737,711,490,18564,0.11602611,4,1,1201
192,Dec,1984,154,1763,721,491,18149,0.11606673,7,1,1212
